num_nodes,num_edges,avg_degree,density,is_connected,num_strongly_connected_components,num_weakly_connected_components,CPP_number
34,28,1.6470588235294117,0.024955436720142603,False,34,6,CPP_64
56,44,1.5714285714285714,0.014285714285714285,False,56,12,CPP_27
69,56,1.6231884057971016,0.011935208866155157,False,69,13,CPP_130
18,11,1.2222222222222223,0.03594771241830065,False,18,7,CPP_135
16,10,1.25,0.041666666666666664,False,16,6,CPP_114
64,50,1.5625,0.01240079365079365,False,64,14,CPP_5
16,11,1.375,0.04583333333333333,False,16,5,CPP_128
63,49,1.5555555555555556,0.012544802867383513,False,63,14,CPP_106
65,51,1.5692307692307692,0.012259615384615384,False,65,14,CPP_25
37,28,1.5135135135135136,0.021021021021021023,False,37,9,CPP_62
52,40,1.5384615384615385,0.015082956259426848,False,52,12,CPP_96
40,30,1.5,0.019230769230769232,False,40,10,CPP_30
64,52,1.625,0.012896825396825396,False,64,13,CPP_6
28,20,1.4285714285714286,0.026455026455026454,False,28,8,CPP_91
37,28,1.5135135135135136,0.021021021021021023,False,37,9,CPP_152
1,0,0.0,0.0,True,1,1,CPP_23
