num_nodes,num_edges,avg_degree,density,is_connected,num_strongly_connected_components,num_weakly_connected_components,CPP_number
6,4,1.3333333333333333,0.13333333333333333,False,6,2,CPP_159
14,8,1.1428571428571428,0.04395604395604396,False,14,6,CPP_36
8,5,1.25,0.08928571428571429,False,8,3,CPP_102
29,22,1.5172413793103448,0.027093596059113302,False,29,7,CPP_100
26,17,1.3076923076923077,0.026153846153846153,False,26,9,CPP_8
20,13,1.3,0.034210526315789476,False,20,7,CPP_131
22,15,1.3636363636363635,0.032467532467532464,False,22,7,CPP_109
26,17,1.3076923076923077,0.026153846153846153,False,26,9,CPP_42
52,41,1.5769230769230769,0.01546003016591252,False,52,11,CPP_89
5,3,1.2,0.15,False,5,2,CPP_92
16,10,1.25,0.041666666666666664,False,16,6,CPP_151
