num_nodes,num_edges,avg_degree,density,is_connected,num_strongly_connected_components,num_weakly_connected_components,CPP_number
10,6,1.2,0.06666666666666667,False,10,4,CPP_24
19,12,1.263157894736842,0.03508771929824561,False,19,7,CPP_108
14,9,1.2857142857142858,0.04945054945054945,False,14,5,CPP_3
24,16,1.3333333333333333,0.028985507246376812,False,24,8,CPP_40
18,12,1.3333333333333333,0.0392156862745098,False,18,6,CPP_43
19,12,1.263157894736842,0.03508771929824561,False,19,7,CPP_63
12,8,1.3333333333333333,0.06060606060606061,False,12,4,CPP_132
18,13,1.4444444444444444,0.042483660130718956,False,18,5,CPP_12
11,7,1.2727272727272727,0.06363636363636363,False,11,4,CPP_31
1,0,0.0,0.0,True,1,1,CPP_99
12,8,1.3333333333333333,0.06060606060606061,False,12,4,CPP_72
14,9,1.2857142857142858,0.04945054945054945,False,14,5,CPP_52
8,4,1.0,0.07142857142857142,False,8,4,CPP_150
11,7,1.2727272727272727,0.06363636363636363,False,11,4,CPP_157
