num_nodes,num_edges,avg_degree,density,is_connected,num_strongly_connected_components,num_weakly_connected_components,CPP_number
18,11,1.2222222222222223,0.03594771241830065,False,18,7,CPP_35
34,23,1.3529411764705883,0.020499108734402853,False,34,11,CPP_4
56,44,1.5714285714285714,0.014285714285714285,False,56,12,CPP_27
37,28,1.5135135135135136,0.021021021021021023,False,37,9,CPP_9
1,0,0.0,0.0,True,1,1,CPP_23
5,3,1.2,0.15,False,5,2,CPP_13
40,30,1.5,0.019230769230769232,False,40,10,CPP_30
1,0,0.0,0.0,True,1,1,CPP_138
14,8,1.1428571428571428,0.04395604395604396,False,14,6,CPP_59
11,7,1.2727272727272727,0.06363636363636363,False,11,4,CPP_31
37,28,1.5135135135135136,0.021021021021021023,False,37,9,CPP_152
7,4,1.1428571428571428,0.09523809523809523,False,7,3,CPP_32
10,6,1.2,0.06666666666666667,False,10,4,CPP_24
1,0,0.0,0.0,True,1,1,CPP_60
52,41,1.5769230769230769,0.01546003016591252,False,52,11,CPP_50
58,40,1.3793103448275863,0.012099213551119177,False,58,18,CPP_48
1,0,0.0,0.0,True,1,1,CPP_41
1,0,0.0,0.0,True,1,1,CPP_2
1,0,0.0,0.0,True,1,1,CPP_45
64,50,1.5625,0.01240079365079365,False,64,14,CPP_5
117,93,1.5897435897435896,0.006852343059239611,False,117,24,CPP_38
26,17,1.3076923076923077,0.026153846153846153,False,26,9,CPP_42
1,0,0.0,0.0,True,1,1,CPP_99
28,21,1.5,0.027777777777777776,False,28,8,CPP_11
1,0,0.0,0.0,True,1,1,CPP_97
1,0,0.0,0.0,True,1,1,CPP_53
