task_id,assert_statement,result
CPP_75,assert (is_multiply_prime(5) == false);,pass
CPP_75,assert (is_multiply_prime(30) == true);,pass
CPP_75,assert (is_multiply_prime(8) == true);,pass
CPP_75,assert (is_multiply_prime(10) == false);,pass
CPP_75,assert (is_multiply_prime(125) == true);,pass
CPP_75,assert (is_multiply_prime(3 * 5 * 7) == true);,pass
CPP_75,assert (is_multiply_prime(3 * 6 * 7) == false);,pass
CPP_75,assert (is_multiply_prime(9 * 9 * 9) == false);,pass
CPP_75,assert (is_multiply_prime(11 * 9 * 9) == false);,pass
CPP_75,assert (is_multiply_prime(11 * 13 * 7) == true);,pass
