assert_statement,result,comments
"assert (correct_bracketing(""<>""));",Fail,Failed to parse the assert statement
"assert (correct_bracketing(""<<><>>""));",Fail,Failed to parse the assert statement
"assert (correct_bracketing(""<><><<><>><>""));",Fail,Failed to parse the assert statement
"assert (correct_bracketing(""<><><<<><><>><>><<><><<>>>""));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""<<<><>>>>"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""><<>"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""<"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""<<<<"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing("">"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""<<>"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""<><><<><>><>><<>"")));",Fail,Failed to parse the assert statement
"assert (not (correct_bracketing(""<><><<><>><>>><>"")));",Fail,Failed to parse the assert statement
