task_id,assert_statement,result
CPP_31,assert (is_prime(6) == false);,pass
CPP_31,assert (is_prime(101) == true);,pass
CPP_31,assert (is_prime(11) == true);,pass
CPP_31,assert (is_prime(13441) == true);,pass
CPP_31,assert (is_prime(61) == true);,pass
CPP_31,assert (is_prime(4) == false);,pass
CPP_31,assert (is_prime(1) == false);,pass
CPP_31,assert (is_prime(5) == true);,pass
CPP_31,assert (is_prime(11) == true);,pass
CPP_31,assert (is_prime(17) == true);,pass
CPP_31,assert (is_prime(5 * 17) == false);,pass
CPP_31,assert (is_prime(11 * 7) == false);,pass
CPP_31,assert (is_prime(13441 * 19) == false);,pass
