num_nodes,num_edges,density,num_connected_components,avg_degree,assortativity,betweenness_centrality,diameter,avg_shortest_path,eigenvector_centrality,cpp_file
14,25,0.13736263736263737,14,3.5714285714285716,,0.0004578754578754579,inf,inf,0.23166151103356117,CPP_1.dot
10,68,0.7555555555555555,10,13.6,,0.0,inf,inf,0.28169271628809667,CPP_10.dot
6,5,0.16666666666666666,6,1.6666666666666667,,0.0,inf,inf,0.3535534152329942,CPP_100.dot
15,45,0.21428571428571427,15,6.0,,0.00036630036630036635,inf,inf,0.2220180442501863,CPP_101.dot
11,25,0.22727272727272727,11,4.545454545454546,,0.0,inf,inf,0.26238185652252827,CPP_103.dot
11,23,0.20909090909090908,11,4.181818181818182,,0.0,inf,inf,0.16731419563489158,CPP_104.dot
28,104,0.13756613756613756,28,7.428571428571429,,0.00035612535612535614,inf,inf,0.14780910599434813,CPP_105.dot
5,6,0.3,5,2.4,,0.0,inf,inf,0.3863705486274729,CPP_106.dot
13,24,0.15384615384615385,13,3.6923076923076925,,0.002331002331002331,inf,inf,0.23164699166906838,CPP_107.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_11.dot
17,44,0.16176470588235295,17,5.176470588235294,,0.0012254901960784314,inf,inf,0.193835976804324,CPP_111.dot
13,65,0.4166666666666667,13,10.0,,0.0005827505827505828,inf,inf,0.2402853568052083,CPP_112.dot
20,64,0.16842105263157894,20,6.4,,0.00014619883040935673,inf,inf,0.1854636326364069,CPP_113.dot
6,6,0.2,6,2.0,,0.0,inf,inf,0.3535534152329942,CPP_116.dot
15,51,0.24285714285714285,15,6.8,,0.00036630036630036635,inf,inf,0.2220180442501863,CPP_117.dot
6,13,0.43333333333333335,6,4.333333333333333,,0.0,inf,inf,0.3535534152329942,CPP_118.dot
8,23,0.4107142857142857,8,5.75,,0.0,inf,inf,0.3048945779814022,CPP_119.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_12.dot
13,25,0.16025641025641027,13,3.8461538461538463,,0.002331002331002331,inf,inf,0.22764032935220918,CPP_120.dot
12,24,0.18181818181818182,12,4.0,,0.0,inf,inf,,CPP_123.dot
21,95,0.2261904761904762,21,9.047619047619047,,0.0002506265664160401,inf,inf,0.17941887350183194,CPP_125.dot
3,1,0.16666666666666666,3,0.6666666666666666,,0.0,inf,inf,0.47140541992208496,CPP_127.dot
6,8,0.26666666666666666,6,2.6666666666666665,,0.0,inf,inf,0.3535534152329942,CPP_129.dot
6,8,0.26666666666666666,6,2.6666666666666665,,0.0,inf,inf,0.3535534152329942,CPP_130.dot
10,12,0.13333333333333333,10,2.4,,0.005555555555555555,inf,inf,0.2690961931290242,CPP_131.dot
48,195,0.08643617021276596,48,8.125,,0.0002987203206907185,inf,inf,0.10887566671971251,CPP_137.dot
15,35,0.16666666666666666,15,4.666666666666667,,0.00036630036630036635,inf,inf,0.2220180442501863,CPP_14.dot
